meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
bassit_mokhlaa,LLSL,LSL,SLS,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LSSL,LSL,SLL,,LSSL,LLL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLS,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LSSL,LSL,SLS,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LSSL,LSL,SLL,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LSSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
